Tiempo en segundos: 3.072302

Posiciones finales de los cuerpos:
Cuerpo 285: px=-0.353956 py=-0.059747 pz=0.356754
Cuerpo 286: px=-0.319088 py=-0.052415 pz=0.087001
Cuerpo 287: px=-0.328257 py=-0.054118 pz=-0.189418
Cuerpo 288: px=-0.379657 py=-0.064528 pz=-0.451325
Cuerpo 289: px=-0.464934 py=-0.081874 pz=-0.678655
Cuerpo 290: px=-0.575107 py=-0.104166 pz=-0.853992
Cuerpo 291: px=-0.704190 py=-0.130038 pz=-0.963903
Cuerpo 292: px=-0.848299 py=-0.158637 pz=-0.999967
Cuerpo 293: px=-1.001908 py=-0.188886 pz=-0.959421
Cuerpo 294: px=-1.153723 py=-0.218628 pz=-0.845372
Cuerpo 295: px=-1.288047 py=-0.244863 pz=-0.666557
Cuerpo 296: px=-1.389543 py=-0.264659 pz=-0.436676
Cuerpo 297: px=-1.446994 py=-0.275867 pz=-0.173340
Cuerpo 298: px=-1.322312 py=-0.662832 pz=0.000000
Cuerpo 299: px=-1.300885 py=-0.651994 pz=0.274125
Cuerpo 300: px=-1.233213 py=-0.617613 pz=0.527250
Cuerpo 301: px=-1.128162 py=-0.564166 pz=0.739980
Cuerpo 302: px=-0.998102 py=-0.497877 pz=0.896019
Cuerpo 303: px=-0.857673 py=-0.426104 pz=0.983412
Cuerpo 304: px=-0.720211 py=-0.355534 pz=0.995464
Cuerpo 305: px=-0.593956 py=-0.290271 pz=0.931251
Cuerpo 306: px=-0.482983 py=-0.232378 pz=0.795693
Cuerpo 307: px=-0.391370 py=-0.184075 pz=0.599176
Cuerpo 308: px=-0.325664 py=-0.149041 pz=0.356754
Cuerpo 309: px=-0.294239 py=-0.131993 pz=0.087001
Cuerpo 310: px=-0.302651 py=-0.136091 pz=-0.189418
Cuerpo 311: px=-0.349238 py=-0.160540 pz=-0.451325
Cuerpo 312: px=-0.426446 py=-0.201227 pz=-0.678655
Cuerpo 313: px=-0.526206 py=-0.253598 pz=-0.853992
Cuerpo 314: px=-0.643171 py=-0.314553 pz=-0.963903
